ImageName,EyeboxID,Aperture,Binning,PixelFormat,ExposureMode,ExposureTime,VID,RX,NDFilter,ColorFilter,LightSource,Scale
R_grid_1_Clear_ND0,1,3mm,ONE_BY_ONE,MLMono12,Auto,697.794,2826.59,-0.35d_0.00d_0deg,ND0,Clear,R,nan
G_grid_1_Clear_ND0,1,3mm,ONE_BY_ONE,MLMono12,Auto,365.103,4282,-0.23d_0.00d_0deg,ND0,Clear,G,nan
B_grid_1_Clear_ND0,1,3mm,ONE_BY_ONE,MLMono12,Auto,351.007,3628.65,-0.28d_0.00d_0deg,ND0,Clear,B,nan
R_grid_2_Clear_ND0,2,3mm,ONE_BY_ONE,MLMono12,Auto,499.996,2826.59,-0.35d_0.00d_0deg,ND0,Clear,R,nan
G_grid_2_Clear_ND0,2,3mm,ONE_BY_ONE,MLMono12,Auto,166.662,4282,-0.23d_0.00d_0deg,ND0,Clear,G,nan
B_grid_2_Clear_ND0,2,3mm,ONE_BY_ONE,MLMono12,Auto,280.205,3628.65,-0.28d_0.00d_0deg,ND0,Clear,B,nan
R_grid_3_Clear_ND0,3,3mm,ONE_BY_ONE,MLMono12,Auto,499.996,2826.59,-0.35d_0.00d_0deg,ND0,Clear,R,nan
G_grid_3_Clear_ND0,3,3mm,ONE_BY_ONE,MLMono12,Auto,290.473,4282,-0.23d_0.00d_0deg,ND0,Clear,G,nan
B_grid_3_Clear_ND0,3,3mm,ONE_BY_ONE,MLMono12,Auto,298.802,3628.65,-0.28d_0.00d_0deg,ND0,Clear,B,nan
R_grid_4_Clear_ND0,4,3mm,ONE_BY_ONE,MLMono12,Auto,359.165,2826.59,-0.35d_0.00d_0deg,ND0,Clear,R,nan
G_grid_4_Clear_ND0,4,3mm,ONE_BY_ONE,MLMono12,Auto,286.755,4282,-0.23d_0.00d_0deg,ND0,Clear,G,nan
B_grid_4_Clear_ND0,4,3mm,ONE_BY_ONE,MLMono12,Auto,499.996,3628.65,-0.28d_0.00d_0deg,ND0,Clear,B,nan
R_grid_5_Clear_ND0,5,3mm,ONE_BY_ONE,MLMono12,Auto,305.212,2826.59,-0.35d_0.00d_0deg,ND0,Clear,R,nan
G_grid_5_Clear_ND0,5,3mm,ONE_BY_ONE,MLMono12,Auto,245.381,4282,-0.23d_0.00d_0deg,ND0,Clear,G,nan
B_grid_5_Clear_ND0,5,3mm,ONE_BY_ONE,MLMono12,Auto,499.996,3628.65,-0.28d_0.00d_0deg,ND0,Clear,B,nan
